begins_at,open,high,low,close
2025-11-03 16:00:00+00:00,682.37,684.23,681.9418,683.42
2025-11-03 20:00:00+00:00,683.4,683.655,682.43,682.52
2025-11-04 16:00:00+00:00,678.18,678.82,674.58,675.07
2025-11-04 20:00:00+00:00,675.19,676.535,674.36,674.45
2025-11-05 16:00:00+00:00,677.42,680.86,676.76,680.23
2025-11-05 20:00:00+00:00,680.23,680.5197,677.11,678.58
2025-11-06 16:00:00+00:00,670.93,673.69,668.72,672.99
2025-11-06 20:00:00+00:00,672.98,673.35,669.55,671.9101
2025-11-07 16:00:00+00:00,663.31,669.98,661.205,669.9
2025-11-07 20:00:00+00:00,672.01,672.1,672.01,672.03
2025-11-10 16:00:00+00:00,676.25,681.662,675.03,681.3
2025-11-10 20:00:00+00:00,681.29,682.17,681.03,681.89
2025-11-11 16:00:00+00:00,679.14,683.37,678.77,683.16
2025-11-11 20:00:00+00:00,683.15,683.57,682.3,682.789
2025-11-12 16:00:00+00:00,682.34,684.14,680.945,682.81
2025-11-12 20:00:00+00:00,682.8,684.07,680.92,681.51
2025-11-13 16:00:00+00:00,676.47,676.81,670.52,671.69
2025-11-13 20:00:00+00:00,671.68,673.54,670.53,672.6
2025-11-14 16:00:00+00:00,672.26,675.66,670.89,674.65
2025-11-14 20:00:00+00:00,674.64,675.12,671.18,672.85
2025-11-17 16:00:00+00:00,670.69,673.0,662.73,662.77
2025-11-17 20:00:00+00:00,662.76,666.81,662.17,666.42
2025-11-18 16:00:00+00:00,658.125,665.12,657.91,664.42
2025-11-18 20:00:00+00:00,664.44,664.94,658.93,660.4807
2025-11-19 16:00:00+00:00,662.9603,663.53,658.745,661.25
2025-11-19 20:00:00+00:00,661.25,669.5,661.0,669.5
2025-11-20 16:00:00+00:00,672.78,672.82,653.87,658.11
2025-11-20 20:00:00+00:00,658.12,658.13,650.8406,653.109
2025-11-21 16:00:00+00:00,652.72,653.28,652.641,653.0
2025-11-21 20:00:00+00:00,661.73,662.2,658.23,659.37
