begins_at,open,high,low,close
2026-05-20 13:30:00+00:00,735.71,736.08,735.06,735.64
2026-05-20 13:35:00+00:00,735.63,735.64,734.27,734.8995
2026-05-20 13:40:00+00:00,734.89,736.23,734.68,735.98
2026-05-20 13:45:00+00:00,736.03,737.23,735.91,736.023
2026-05-20 13:50:00+00:00,736.035,736.67,735.34,735.99
2026-05-20 13:55:00+00:00,736.02,736.27,735.67,736.13
2026-05-20 14:00:00+00:00,736.13,736.25,735.05,735.15
2026-05-20 14:05:00+00:00,735.17,735.3,734.6001,734.745
2026-05-20 14:10:00+00:00,734.7399,734.989,733.94,733.96
2026-05-20 14:15:00+00:00,735.35,738.54,735.2117,737.34
2026-05-20 14:20:00+00:00,737.3,738.16,736.67,736.87
2026-05-20 14:25:00+00:00,736.88,737.89,736.48,737.89
2026-05-20 14:30:00+00:00,737.92,738.9512,737.91,738.19
2026-05-20 14:35:00+00:00,738.13,738.25,737.44,737.94
2026-05-20 14:40:00+00:00,737.94,738.31,737.66,738.31
2026-05-20 14:45:00+00:00,738.32,738.48,737.6,738.01
2026-05-20 14:50:00+00:00,738.05,738.81,737.88,738.72
2026-05-20 14:55:00+00:00,738.71,739.48,738.57,739.2
2026-05-20 15:00:00+00:00,739.19,739.43,739.1,739.27
2026-05-20 15:05:00+00:00,738.8001,739.01,738.59,738.83
2026-05-20 15:10:00+00:00,738.88,738.95,738.65,738.775
2026-05-20 15:15:00+00:00,738.83,741.87,738.82,740.38
2026-05-20 15:20:00+00:00,740.35,740.73,740.02,740.2
2026-05-20 15:25:00+00:00,740.18,740.2301,739.15,739.295
2026-05-20 15:30:00+00:00,739.29,739.75,739.23,739.515
2026-05-20 15:35:00+00:00,739.92,740.18,739.84,739.9
2026-05-20 15:40:00+00:00,739.9103,740.43,739.68,740.315
2026-05-20 15:45:00+00:00,740.33,740.75,740.19,740.7266
2026-05-20 15:50:00+00:00,740.73,740.92,740.49,740.6901
2026-05-20 15:55:00+00:00,740.7101,740.75,739.92,740.25
2026-05-20 16:00:00+00:00,740.26,740.395,739.87,740.26
2026-05-20 16:05:00+00:00,740.25,740.52,740.022,740.182
2026-05-20 16:10:00+00:00,740.1199,740.14,740.06,740.1
2026-05-20 16:15:00+00:00,740.07,740.13,739.52,739.68
2026-05-20 16:20:00+00:00,739.71,739.76,738.9,739.21
2026-05-20 16:25:00+00:00,739.17,739.17,738.74,738.9
2026-05-20 16:30:00+00:00,738.95,739.37,738.58,738.69
2026-05-20 16:35:00+00:00,738.76,739.09,738.5112,738.855
2026-05-20 16:40:00+00:00,738.86,739.94,738.785,739.94
2026-05-20 16:45:00+00:00,739.935,740.01,738.81,739.12
2026-05-20 16:50:00+00:00,739.15,739.49,739.14,739.44
2026-05-20 16:55:00+00:00,739.47,739.59,738.71,739.365
2026-05-20 17:00:00+00:00,739.41,739.58,739.08,739.53
2026-05-20 17:05:00+00:00,739.1,739.205,738.84,739.02
2026-05-20 17:10:00+00:00,739.03,740.11,738.74,739.67
2026-05-20 17:15:00+00:00,739.64,739.95,739.53,739.7399
2026-05-20 17:20:00+00:00,739.7,739.96,739.52,739.64
2026-05-20 17:25:00+00:00,739.64,740.35,739.59,740.1651
2026-05-20 17:30:00+00:00,740.16,740.41,739.8,740.0
2026-05-20 17:35:00+00:00,739.98,740.72,739.91,740.44
2026-05-20 17:40:00+00:00,740.43,740.47,740.13,740.2616
2026-05-20 17:45:00+00:00,740.265,740.36,739.92,740.14
2026-05-20 17:50:00+00:00,740.16,740.22,739.65,739.67
2026-05-20 17:55:00+00:00,739.66,739.9699,739.61,739.85
2026-05-20 18:00:00+00:00,739.86,740.22,739.3,740.11
2026-05-20 18:05:00+00:00,740.1,740.48,739.96,740.1601
2026-05-20 18:10:00+00:00,740.0702,740.18,739.85,740.07
2026-05-20 18:15:00+00:00,740.075,740.305,740.01,740.11
2026-05-20 18:20:00+00:00,740.1,740.23,739.68,739.725
2026-05-20 18:25:00+00:00,739.69,740.13,739.64,740.08
2026-05-20 18:30:00+00:00,740.13,740.43,740.1106,740.38
2026-05-20 18:35:00+00:00,740.4,740.85,740.265,740.7175
2026-05-20 18:40:00+00:00,740.715,740.78,739.76,739.78
2026-05-20 18:45:00+00:00,739.77,740.23,739.68,740.11
2026-05-20 18:50:00+00:00,740.09,740.2699,739.86,740.16
2026-05-20 18:55:00+00:00,740.06,740.3,740.05,740.165
2026-05-20 19:00:00+00:00,740.57,740.72,740.22,740.25
2026-05-20 19:05:00+00:00,740.22,740.41,740.0901,740.19
2026-05-20 19:10:00+00:00,740.495,740.5299,740.46,740.51
2026-05-20 19:15:00+00:00,740.55,740.77,740.4,740.69
2026-05-20 19:20:00+00:00,740.68,740.96,740.58,740.745
2026-05-20 19:25:00+00:00,740.7401,740.87,740.66,740.8202
2026-05-20 19:30:00+00:00,740.83,740.98,740.57,740.89
2026-05-20 19:35:00+00:00,740.88,741.56,740.86,741.36
2026-05-20 19:40:00+00:00,741.3987,741.44,741.18,741.24
2026-05-20 19:45:00+00:00,741.22,741.43,741.0,741.085
2026-05-20 19:50:00+00:00,741.085,741.46,740.55,740.98
2026-05-20 19:55:00+00:00,740.97,741.4,740.77,741.3
2026-05-21 13:30:00+00:00,738.67,738.67,737.625,738.56
2026-05-21 13:35:00+00:00,738.56,738.56,737.52,737.68
2026-05-21 13:40:00+00:00,737.69,738.22,737.45,737.65
2026-05-21 13:45:00+00:00,737.64,738.36,737.4147,737.56
2026-05-21 13:50:00+00:00,737.55,739.75,737.5201,739.64
2026-05-21 13:55:00+00:00,739.61,740.14,739.11,739.79
2026-05-21 14:00:00+00:00,739.79,740.615,739.65,740.0599
2026-05-21 14:05:00+00:00,740.05,740.4,739.62,740.39
2026-05-21 14:10:00+00:00,740.01,740.04,739.48,739.48
2026-05-21 14:15:00+00:00,739.4,739.52,738.2133,738.235
2026-05-21 14:20:00+00:00,738.235,738.425,737.45,737.88
2026-05-21 14:25:00+00:00,737.84,738.58,737.736,738.505
2026-05-21 14:30:00+00:00,738.5,739.265,738.16,738.46
2026-05-21 14:35:00+00:00,738.43,739.1399,738.43,738.93
2026-05-21 14:40:00+00:00,738.9331,739.03,738.0,738.5482
2026-05-21 14:45:00+00:00,738.575,738.79,737.6,738.13
2026-05-21 14:50:00+00:00,738.15,738.61,737.71,738.59
2026-05-21 14:55:00+00:00,738.615,739.2399,738.42,738.91
2026-05-21 15:00:00+00:00,738.9775,739.1499,738.38,738.52
2026-05-21 15:05:00+00:00,738.43,738.56,737.25,737.6699
2026-05-21 15:10:00+00:00,737.65,739.31,737.03,738.945
2026-05-21 15:15:00+00:00,738.95,739.19,738.65,738.84
2026-05-21 15:20:00+00:00,738.97,739.36,738.65,738.865
2026-05-21 15:25:00+00:00,738.88,739.11,738.63,738.8
2026-05-21 15:30:00+00:00,738.81,738.97,737.82,738.0
2026-05-21 15:35:00+00:00,737.975,738.97,737.87,738.95
2026-05-21 15:40:00+00:00,739.18,739.23,739.075,739.1
2026-05-21 15:45:00+00:00,739.1282,739.71,739.11,739.69
2026-05-21 15:50:00+00:00,739.695,739.81,739.41,739.57
2026-05-21 15:55:00+00:00,739.51,739.66,739.21,739.3
2026-05-21 16:00:00+00:00,739.3,739.89,739.29,739.76
2026-05-21 16:05:00+00:00,739.76,739.96,739.36,739.93
2026-05-21 16:10:00+00:00,739.925,739.93,739.2,739.45
2026-05-21 16:15:00+00:00,739.4404,739.5188,739.06,739.175
2026-05-21 16:20:00+00:00,739.16,739.35,738.395,738.81
2026-05-21 16:25:00+00:00,738.8,738.93,738.51,738.79
2026-05-21 16:30:00+00:00,738.81,739.18,738.66,739.05
2026-05-21 16:35:00+00:00,739.04,739.18,738.4,738.71
2026-05-21 16:40:00+00:00,738.735,738.99,738.55,738.92
2026-05-21 16:45:00+00:00,738.92,739.165,738.28,738.47
2026-05-21 16:50:00+00:00,738.48,738.76,738.09,738.6
2026-05-21 16:55:00+00:00,738.61,738.93,738.54,738.91
2026-05-21 17:00:00+00:00,738.94,739.34,738.94,739.07
2026-05-21 17:05:00+00:00,739.03,739.29,739.01,739.14
2026-05-21 17:10:00+00:00,739.06,741.14,739.03,740.45
2026-05-21 17:15:00+00:00,740.46,742.4175,740.33,741.76
2026-05-21 17:20:00+00:00,741.74,743.05,741.08,741.98
2026-05-21 17:25:00+00:00,741.97,742.26,741.795,742.15
2026-05-21 17:30:00+00:00,742.16,742.69,741.97,742.28
2026-05-21 17:35:00+00:00,742.3,742.84,742.27,742.8
2026-05-21 17:40:00+00:00,743.04,743.6299,743.04,743.32
2026-05-21 17:45:00+00:00,743.545,743.85,743.16,743.83
2026-05-21 17:50:00+00:00,743.85,744.63,743.63,744.58
2026-05-21 17:55:00+00:00,744.58,744.87,743.65,743.68
2026-05-21 18:00:00+00:00,743.68,744.11,742.86,742.97
2026-05-21 18:05:00+00:00,742.965,743.67,742.75,743.49
2026-05-21 18:10:00+00:00,743.48,743.56,742.79,742.89
2026-05-21 18:15:00+00:00,742.88,743.23,742.58,743.2004
2026-05-21 18:20:00+00:00,743.1912,743.57,743.05,743.56
2026-05-21 18:25:00+00:00,743.56,743.6399,743.24,743.34
2026-05-21 18:30:00+00:00,743.36,743.56,743.13,743.3
2026-05-21 18:35:00+00:00,743.29,743.4,742.95,743.09
2026-05-21 18:40:00+00:00,743.08,743.69,743.08,743.52
2026-05-21 18:45:00+00:00,743.495,743.66,742.11,742.38
2026-05-21 18:50:00+00:00,742.3951,742.96,740.31,740.36
2026-05-21 18:55:00+00:00,740.34,741.04,740.08,741.0268
2026-05-21 19:00:00+00:00,740.98,741.9,740.98,741.85
2026-05-21 19:05:00+00:00,741.85,742.45,741.26,742.415
2026-05-21 19:10:00+00:00,742.4,742.55,742.06,742.5101
2026-05-21 19:15:00+00:00,742.58,742.8499,742.43,742.79
2026-05-21 19:20:00+00:00,742.77,742.88,742.41,742.625
2026-05-21 19:25:00+00:00,742.625,742.88,742.33,742.665
2026-05-21 19:30:00+00:00,742.65,742.86,742.35,742.38
2026-05-21 19:35:00+00:00,742.4,742.83,742.4,742.71
2026-05-21 19:40:00+00:00,742.71,742.98,742.08,742.38
2026-05-21 19:45:00+00:00,742.37,742.82,742.16,742.6
2026-05-21 19:50:00+00:00,742.59,743.0,741.92,742.3
2026-05-21 19:55:00+00:00,742.295,743.15,742.0,742.75
2026-05-22 13:30:00+00:00,746.24,747.36,745.67,747.19
2026-05-22 13:35:00+00:00,747.18,747.97,747.07,747.79
2026-05-22 13:40:00+00:00,747.82,748.16,746.94,747.4169
2026-05-22 13:45:00+00:00,747.44,748.0801,747.06,747.4
2026-05-22 13:50:00+00:00,747.37,747.45,746.62,747.33
2026-05-22 13:55:00+00:00,747.28,747.58,746.78,747.53
2026-05-22 14:00:00+00:00,747.55,747.55,745.83,746.24
2026-05-22 14:05:00+00:00,746.14,746.22,745.32,746.13
2026-05-22 14:10:00+00:00,746.125,746.36,746.09,746.35
2026-05-22 14:15:00+00:00,745.545,746.06,745.39,745.44
2026-05-22 14:20:00+00:00,745.46,745.59,745.215,745.29
2026-05-22 14:25:00+00:00,744.99,745.74,744.9,745.66
2026-05-22 14:30:00+00:00,745.7,745.98,745.46,745.94
2026-05-22 14:35:00+00:00,745.94,746.32,745.88,746.04
2026-05-22 14:40:00+00:00,746.07,746.525,746.01,746.38
2026-05-22 14:45:00+00:00,746.37,746.44,745.8,746.16
2026-05-22 14:50:00+00:00,746.13,746.23,745.9,746.23
2026-05-22 14:55:00+00:00,746.51,746.72,746.4301,746.49
2026-05-22 15:00:00+00:00,746.49,746.87,746.45,746.87
2026-05-22 15:05:00+00:00,746.89,747.13,746.69,747.05
2026-05-22 15:10:00+00:00,747.04,747.1,746.72,747.02
2026-05-22 15:15:00+00:00,747.02,747.44,746.8901,747.43
2026-05-22 15:20:00+00:00,747.43,747.44,747.065,747.235
2026-05-22 15:25:00+00:00,747.24,747.87,747.09,747.87
