idx,instrument_id,expiry,fill_time
0,5f3d5d52-88e7-4a1e-8952-9b071905930d,2026-05-29,2026-05-21T15:15:00Z
1,8aba3239-0b10-4f17-99da-9c502d7a9c9f,2026-06-15,2026-06-08T13:35:00Z
2,1c434391-761f-45a3-8596-fea6aa6b2112,2026-06-17,2026-06-09T14:25:00Z
3,b9867707-a0c6-465a-8fa2-c94e5e7d1ac7,2026-06-17,2026-06-10T13:45:00Z
4,893b2380-675b-41af-bb19-736b255381bb,2026-06-22,2026-06-11T14:25:00Z
5,5ca3eb09-5bc1-411c-be53-052383ce6ed3,2026-06-22,2026-06-12T14:05:00Z
6,9dc9883b-05da-48b2-8836-37ede0bfc590,2026-06-24,2026-06-17T18:45:00Z
7,bd11b4db-0a99-42e0-b584-324445b953f4,2026-06-26,2026-06-18T13:35:00Z
8,01fb3191-3ba0-4b77-b6bc-183c815318ea,2026-07-01,2026-06-24T14:25:00Z
9,934b0a4b-4c1f-4c0d-82e9-1d4e948808d4,2026-07-06,2026-06-25T14:05:00Z
10,9299a894-2942-4fb1-9c4a-951124d7eb06,2026-07-06,2026-06-26T14:05:00Z
11,cc70979c-f130-4bb1-b549-9fef746501b0,2026-07-06,2026-06-29T13:35:00Z
12,a96439a9-35e8-4a39-9dcf-d6c7d4fb2889,2026-07-08,2026-07-01T14:10:00Z
13,4028ccfe-dd3e-4837-9f7b-d85bc5d19b09,2026-07-17,2026-07-09T14:25:00Z
14,ce374784-da35-4291-bdd7-4d52c1ed2855,2026-07-24,2026-07-16T19:55:00Z
15,901b981d-b61a-4d8e-b736-01d35f7493d4,2026-07-24,2026-07-17T14:25:00Z
16,773024c6-827f-4e2d-863d-256fe3645e94,2026-07-27,2026-07-20T14:30:00Z
17,3eee22ba-52db-4ca2-8875-b9e600b6b938,2026-08-03,2026-07-27T16:05:00Z
18,92a711c4-e9c7-4bbd-abcb-7e8e8cd66f34,2026-08-07,2026-07-30T13:50:00Z
19,b70a3c57-4847-4c71-9759-4db7aa3b1e32,2026-08-07,2026-07-31T14:50:00Z
20,72db1a4f-8d68-4ea1-b768-5e1587cf2cb5,2026-08-14,2026-08-07T14:20:00Z
21,cb922f63-f1e0-422c-92aa-b5ef3eee5d6b,2026-09-04,2026-08-28T14:20:00Z
