idx,fill_time,spy_price,expiry,strike
0,2026-05-21 15:15:00+00:00,738.945,2026-05-29,739.0000
1,2026-06-08 13:35:00+00:00,742.185,2026-06-15,742.0000
2,2026-06-09 14:25:00+00:00,741.95,2026-06-17,742.0000
3,2026-06-10 13:45:00+00:00,736.17,2026-06-17,736.0000
4,2026-06-11 14:25:00+00:00,729.22,2026-06-19,729.0000
5,2026-06-12 14:05:00+00:00,738.79,2026-06-19,739.0000
6,2026-06-17 18:45:00+00:00,749.9301,2026-06-24,750.0000
7,2026-06-18 13:35:00+00:00,745.89,2026-06-26,746.0000
8,2026-06-24 14:25:00+00:00,736.27,2026-07-01,736.0000
9,2026-06-25 14:05:00+00:00,733.24,2026-07-03,733.0000
10,2026-06-26 14:05:00+00:00,732.19,2026-07-03,732.0000
11,2026-06-29 13:35:00+00:00,738.6701,2026-07-06,739.0000
12,2026-07-01 14:10:00+00:00,746.095,2026-07-08,746.0000
13,2026-07-09 14:25:00+00:00,746.96,2026-07-17,747.0000
14,2026-07-16 19:55:00+00:00,749.98,2026-07-24,750.0000
15,2026-07-17 14:25:00+00:00,746.87,2026-07-24,747.0000
16,2026-07-20 14:30:00+00:00,745.68,2026-07-27,746.0000
17,2026-07-27 16:05:00+00:00,738.1592,2026-08-03,738.0000
18,2026-07-30 13:50:00+00:00,737.4,2026-08-07,737.0000
19,2026-07-31 14:50:00+00:00,742.4229,2026-08-07,742.0000
20,2026-08-07 14:20:00+00:00,771.82,2026-08-14,772.0000
21,2026-08-28 14:20:00+00:00,771.43,2026-09-04,771.0000
