begins_at,open,high,low,close
2026-07-09 14:25:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 14:30:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 14:35:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 14:40:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 14:45:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 14:50:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 14:55:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 15:00:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 15:05:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 15:10:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 15:15:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 15:20:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 15:25:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 15:30:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 15:35:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 15:40:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 15:45:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 15:50:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 15:55:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 16:00:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 16:05:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 16:10:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 16:15:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 16:20:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 16:25:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 16:30:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 16:35:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 16:40:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 16:45:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 16:50:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 16:55:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 17:00:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 17:05:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 17:10:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 17:15:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 17:20:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 17:25:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 17:30:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 17:35:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 17:40:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 17:45:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 17:50:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 17:55:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 18:00:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 18:05:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 18:10:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 18:15:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 18:20:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 18:25:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 18:30:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 18:35:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 18:40:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 18:45:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 18:50:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 18:55:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 19:00:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 19:05:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 19:10:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 19:15:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 19:20:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 19:25:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 19:30:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 19:35:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 19:40:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 19:45:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 19:50:00+00:00,0.01,0.01,0.01,0.01
2026-07-09 19:55:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 13:30:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 13:35:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 13:40:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 13:45:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 13:50:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 13:55:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 14:00:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 14:05:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 14:10:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 14:15:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 14:20:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 14:25:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 14:30:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 14:35:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 14:40:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 14:45:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 14:50:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 14:55:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 15:00:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 15:05:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 15:10:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 15:15:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 15:20:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 15:25:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 15:30:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 15:35:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 15:40:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 15:45:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 15:50:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 15:55:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 16:00:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 16:05:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 16:10:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 16:15:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 16:20:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 16:25:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 16:30:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 16:35:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 16:40:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 16:45:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 16:50:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 16:55:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 17:00:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 17:05:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 17:10:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 17:15:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 17:20:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 17:25:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 17:30:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 17:35:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 17:40:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 17:45:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 17:50:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 17:55:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 18:00:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 18:05:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 18:10:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 18:15:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 18:20:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 18:25:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 18:30:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 18:35:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 18:40:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 18:45:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 18:50:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 18:55:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 19:00:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 19:05:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 19:10:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 19:15:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 19:20:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 19:25:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 19:30:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 19:35:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 19:40:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 19:45:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 19:50:00+00:00,0.01,0.01,0.01,0.01
2026-07-10 19:55:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 13:30:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 13:35:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 13:40:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 13:45:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 13:50:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 13:55:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 14:00:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 14:05:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 14:10:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 14:15:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 14:20:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 14:25:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 14:30:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 14:35:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 14:40:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 14:45:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 14:50:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 14:55:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 15:00:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 15:05:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 15:10:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 15:15:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 15:20:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 15:25:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 15:30:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 15:35:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 15:40:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 15:45:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 15:50:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 15:55:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 16:00:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 16:05:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 16:10:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 16:15:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 16:20:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 16:25:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 16:30:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 16:35:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 16:40:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 16:45:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 16:50:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 16:55:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 17:00:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 17:05:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 17:10:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 17:15:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 17:20:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 17:25:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 17:30:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 17:35:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 17:40:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 17:45:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 17:50:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 17:55:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 18:00:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 18:05:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 18:10:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 18:15:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 18:20:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 18:25:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 18:30:00+00:00,0.01,0.01,0.01,0.01
2026-07-13 18:35:00+00:00,0.01,0.01,0.01,0.01
