begins_at,open,high,low,close
2026-06-12 14:05:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 14:10:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 14:15:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 14:20:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 14:25:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 14:30:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 14:35:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 14:40:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 14:45:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 14:50:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 14:55:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 15:00:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 15:05:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 15:10:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 15:15:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 15:20:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 15:25:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 15:30:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 15:35:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 15:40:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 15:45:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 15:50:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 15:55:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 16:00:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 16:05:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 16:10:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 16:15:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 16:20:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 16:25:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 16:30:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 16:35:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 16:40:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 16:45:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 16:50:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 16:55:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 17:00:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 17:05:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 17:10:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 17:15:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 17:20:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 17:25:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 17:30:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 17:35:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 17:40:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 17:45:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 17:50:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 17:55:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 18:00:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 18:05:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 18:10:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 18:15:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 18:20:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 18:25:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 18:30:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 18:35:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 18:40:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 18:45:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 18:50:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 18:55:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 19:00:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 19:05:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 19:10:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 19:15:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 19:20:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 19:25:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 19:30:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 19:35:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 19:40:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 19:45:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 19:50:00+00:00,5.87,5.87,5.87,5.87
2026-06-12 19:55:00+00:00,5.87,5.87,5.87,5.87
2026-06-15 13:30:00+00:00,5.87,5.87,5.87,5.87
2026-06-15 13:35:00+00:00,5.87,5.87,5.87,5.87
2026-06-15 13:40:00+00:00,5.87,5.87,5.87,5.87
2026-06-15 13:45:00+00:00,5.87,5.87,5.87,5.87
2026-06-15 13:50:00+00:00,5.87,5.87,5.87,5.87
2026-06-15 13:55:00+00:00,5.87,5.87,5.87,5.87
2026-06-15 14:00:00+00:00,5.87,5.87,5.87,5.87
2026-06-15 14:05:00+00:00,5.87,5.87,5.87,5.87
2026-06-15 14:10:00+00:00,5.87,5.87,5.87,5.87
2026-06-15 14:15:00+00:00,5.87,5.87,5.87,5.87
2026-06-15 14:20:00+00:00,5.87,5.87,5.87,5.87
2026-06-15 14:25:00+00:00,5.87,5.87,5.87,5.87
2026-06-15 14:30:00+00:00,5.87,5.87,5.87,5.87
2026-06-15 14:35:00+00:00,5.87,5.87,5.87,5.87
2026-06-15 14:40:00+00:00,5.87,5.87,5.87,5.87
2026-06-15 14:45:00+00:00,5.87,5.87,5.87,5.87
2026-06-15 14:50:00+00:00,5.87,5.87,5.87,5.87
2026-06-15 14:55:00+00:00,5.87,5.87,5.87,5.87
2026-06-15 15:00:00+00:00,5.87,5.87,5.87,5.87
2026-06-15 15:05:00+00:00,5.87,5.87,5.87,5.87
2026-06-15 15:10:00+00:00,5.87,5.87,5.87,5.87
2026-06-15 15:15:00+00:00,5.87,5.87,5.87,5.87
2026-06-15 15:20:00+00:00,5.87,5.87,5.87,5.87
2026-06-15 15:25:00+00:00,5.87,5.87,5.87,5.87
2026-06-15 15:30:00+00:00,5.87,5.87,5.87,5.87
2026-06-15 15:35:00+00:00,5.87,5.87,5.87,5.87
2026-06-15 15:40:00+00:00,5.87,5.87,5.87,5.87
