begins_at,open,high,low,close
2026-08-07 14:20:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 14:25:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 14:30:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 14:35:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 14:40:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 14:45:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 14:50:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 14:55:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 15:00:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 15:05:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 15:10:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 15:15:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 15:20:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 15:25:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 15:30:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 15:35:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 15:40:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 15:45:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 15:50:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 15:55:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 16:00:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 16:05:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 16:10:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 16:15:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 16:20:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 16:25:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 16:30:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 16:35:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 16:40:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 16:45:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 16:50:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 16:55:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 17:00:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 17:05:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 17:10:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 17:15:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 17:20:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 17:25:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 17:30:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 17:35:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 17:40:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 17:45:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 17:50:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 17:55:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 18:00:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 18:05:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 18:10:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 18:15:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 18:20:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 18:25:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 18:30:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 18:35:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 18:40:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 18:45:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 18:50:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 18:55:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 19:00:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 19:05:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 19:10:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 19:15:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 19:20:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 19:25:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 19:30:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 19:35:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 19:40:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 19:45:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 19:50:00+00:00,3.91,3.91,3.91,3.91
2026-08-07 19:55:00+00:00,3.91,3.91,3.91,3.91
2026-08-10 13:30:00+00:00,3.91,3.91,3.91,3.91
2026-08-10 13:35:00+00:00,3.91,3.91,3.91,3.91
2026-08-10 13:40:00+00:00,3.91,3.91,3.91,3.91
2026-08-10 13:45:00+00:00,3.91,3.91,3.91,3.91
2026-08-10 13:50:00+00:00,3.91,3.91,3.91,3.91
2026-08-10 13:55:00+00:00,3.91,3.91,3.91,3.91
2026-08-10 14:00:00+00:00,3.91,3.91,3.91,3.91
2026-08-10 14:05:00+00:00,3.91,3.91,3.91,3.91
2026-08-10 14:10:00+00:00,3.91,3.91,3.91,3.91
2026-08-10 14:15:00+00:00,3.91,3.91,3.91,3.91
2026-08-10 14:20:00+00:00,3.91,3.91,3.91,3.91
2026-08-10 14:25:00+00:00,3.91,3.91,3.91,3.91
2026-08-10 14:30:00+00:00,3.91,3.91,3.91,3.91
2026-08-10 14:35:00+00:00,3.91,3.91,3.91,3.91
