begins_at,open,high,low,close
2026-06-26 14:05:00+00:00,19.69,19.69,19.69,19.69
2026-06-26 14:10:00+00:00,19.69,19.69,19.69,19.69
2026-06-26 14:15:00+00:00,19.69,19.69,19.69,19.69
2026-06-26 14:20:00+00:00,19.69,19.69,19.69,19.69
2026-06-26 14:25:00+00:00,19.69,19.69,19.69,19.69
2026-06-26 14:30:00+00:00,19.69,19.69,19.69,19.69
2026-06-26 14:35:00+00:00,19.69,19.69,19.69,19.69
2026-06-26 14:40:00+00:00,19.69,19.69,19.69,19.69
2026-06-26 14:45:00+00:00,19.69,19.69,19.69,19.69
2026-06-26 14:50:00+00:00,19.69,19.69,19.69,19.69
2026-06-26 14:55:00+00:00,19.69,19.69,19.69,19.69
2026-06-26 15:00:00+00:00,19.69,19.69,19.69,19.69
2026-06-26 15:05:00+00:00,19.69,19.69,19.69,19.69
2026-06-26 15:10:00+00:00,19.69,19.69,19.69,19.69
2026-06-26 15:15:00+00:00,19.69,19.69,19.69,19.69
2026-06-26 15:20:00+00:00,19.69,19.69,19.69,19.69
2026-06-26 15:25:00+00:00,19.69,19.69,19.69,19.69
2026-06-26 15:30:00+00:00,19.69,19.69,19.69,19.69
2026-06-26 15:35:00+00:00,19.69,19.69,19.69,19.69
2026-06-26 15:40:00+00:00,19.69,19.69,19.69,19.69
2026-06-26 15:45:00+00:00,19.69,19.69,19.69,19.69
2026-06-26 15:50:00+00:00,19.69,19.69,19.69,19.69
2026-06-26 15:55:00+00:00,19.69,19.69,19.69,19.69
2026-06-26 16:00:00+00:00,19.69,19.69,19.69,19.69
2026-06-26 16:05:00+00:00,19.69,19.69,19.69,19.69
2026-06-26 16:10:00+00:00,19.69,19.69,19.69,19.69
2026-06-26 16:15:00+00:00,19.69,19.69,19.69,19.69
2026-06-26 16:20:00+00:00,19.69,19.69,19.69,19.69
2026-06-26 16:25:00+00:00,19.69,19.69,19.69,19.69
2026-06-26 16:30:00+00:00,19.69,19.69,19.69,19.69
2026-06-26 16:35:00+00:00,19.69,19.69,19.69,19.69
2026-06-26 16:40:00+00:00,19.69,19.69,19.69,19.69
2026-06-26 16:45:00+00:00,19.69,19.69,19.69,19.69
2026-06-26 16:50:00+00:00,19.69,19.69,19.69,19.69
2026-06-26 16:55:00+00:00,19.69,19.69,19.69,19.69
2026-06-26 17:00:00+00:00,19.69,19.69,19.69,19.69
2026-06-26 17:05:00+00:00,19.69,19.69,19.69,19.69
2026-06-26 17:10:00+00:00,19.69,19.69,19.69,19.69
2026-06-26 17:15:00+00:00,19.69,19.69,19.69,19.69
2026-06-26 17:20:00+00:00,19.69,19.69,19.69,19.69
2026-06-26 17:25:00+00:00,19.69,19.69,19.69,19.69
