begins_at,open,high,low,close
2026-07-01 14:10:00+00:00,0.03,0.03,0.03,0.03
2026-07-01 14:15:00+00:00,0.03,0.03,0.03,0.03
2026-07-01 14:20:00+00:00,0.03,0.03,0.03,0.03
2026-07-01 14:25:00+00:00,0.03,0.03,0.03,0.03
2026-07-01 14:30:00+00:00,0.03,0.03,0.03,0.03
2026-07-01 14:35:00+00:00,0.03,0.03,0.03,0.03
2026-07-01 14:40:00+00:00,0.03,0.03,0.03,0.03
2026-07-01 14:45:00+00:00,0.03,0.03,0.03,0.03
2026-07-01 14:50:00+00:00,0.03,0.03,0.03,0.03
2026-07-01 14:55:00+00:00,0.03,0.03,0.03,0.03
2026-07-01 15:00:00+00:00,0.03,0.03,0.03,0.03
2026-07-01 15:05:00+00:00,0.03,0.03,0.03,0.03
2026-07-01 15:10:00+00:00,0.03,0.03,0.03,0.03
2026-07-01 15:15:00+00:00,0.03,0.03,0.03,0.03
2026-07-01 15:20:00+00:00,0.03,0.03,0.03,0.03
2026-07-01 15:25:00+00:00,0.03,0.03,0.03,0.03
2026-07-01 15:30:00+00:00,0.03,0.03,0.03,0.03
2026-07-01 15:35:00+00:00,0.03,0.03,0.03,0.03
2026-07-01 15:40:00+00:00,0.03,0.03,0.03,0.03
2026-07-01 15:45:00+00:00,0.03,0.03,0.03,0.03
2026-07-01 15:50:00+00:00,0.03,0.03,0.03,0.03
2026-07-01 15:55:00+00:00,0.03,0.03,0.03,0.03
2026-07-01 16:00:00+00:00,0.03,0.03,0.03,0.03
2026-07-01 16:05:00+00:00,0.03,0.03,0.03,0.03
2026-07-01 16:10:00+00:00,0.03,0.03,0.03,0.03
2026-07-01 16:15:00+00:00,0.03,0.03,0.03,0.03
2026-07-01 16:20:00+00:00,0.03,0.03,0.03,0.03
2026-07-01 16:25:00+00:00,0.03,0.03,0.03,0.03
2026-07-01 16:30:00+00:00,0.03,0.03,0.03,0.03
2026-07-01 16:35:00+00:00,0.03,0.03,0.03,0.03
