begins_at,open,high,low,close
2026-07-31 14:50:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 14:55:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 15:00:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 15:05:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 15:10:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 15:15:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 15:20:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 15:25:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 15:30:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 15:35:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 15:40:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 15:45:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 15:50:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 15:55:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 16:00:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 16:05:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 16:10:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 16:15:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 16:20:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 16:25:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 16:30:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 16:35:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 16:40:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 16:45:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 16:50:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 16:55:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 17:00:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 17:05:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 17:10:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 17:15:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 17:20:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 17:25:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 17:30:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 17:35:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 17:40:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 17:45:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 17:50:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 17:55:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 18:00:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 18:05:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 18:10:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 18:15:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 18:20:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 18:25:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 18:30:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 18:35:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 18:40:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 18:45:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 18:50:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 18:55:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 19:00:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 19:05:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 19:10:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 19:15:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 19:20:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 19:25:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 19:30:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 19:35:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 19:40:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 19:45:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 19:50:00+00:00,31.43,31.43,31.43,31.43
2026-07-31 19:55:00+00:00,31.43,31.43,31.43,31.43
2026-08-03 13:30:00+00:00,31.43,31.43,31.43,31.43
2026-08-03 13:35:00+00:00,31.43,31.43,31.43,31.43
2026-08-03 13:40:00+00:00,31.43,31.43,31.43,31.43
2026-08-03 13:45:00+00:00,31.43,31.43,31.43,31.43
2026-08-03 13:50:00+00:00,31.43,31.43,31.43,31.43
2026-08-03 13:55:00+00:00,31.43,31.43,31.43,31.43
2026-08-03 14:00:00+00:00,31.43,31.43,31.43,31.43
2026-08-03 14:05:00+00:00,31.43,31.43,31.43,31.43
2026-08-03 14:10:00+00:00,31.43,31.43,31.43,31.43
2026-08-03 14:15:00+00:00,31.43,31.43,31.43,31.43
2026-08-03 14:20:00+00:00,31.43,31.43,31.43,31.43
2026-08-03 14:25:00+00:00,31.43,31.43,31.43,31.43
2026-08-03 14:30:00+00:00,31.43,31.43,31.43,31.43
2026-08-03 14:35:00+00:00,31.43,31.43,31.43,31.43
2026-08-03 14:40:00+00:00,31.43,31.43,31.43,31.43
2026-08-03 14:45:00+00:00,31.43,31.43,31.43,31.43
2026-08-03 14:50:00+00:00,31.43,31.43,31.43,31.43
2026-08-03 14:55:00+00:00,31.43,31.43,31.43,31.43
2026-08-03 15:00:00+00:00,31.43,31.43,31.43,31.43
2026-08-03 15:05:00+00:00,31.43,31.43,31.43,31.43
2026-08-03 15:10:00+00:00,31.43,31.43,31.43,31.43
2026-08-03 15:15:00+00:00,31.43,31.43,31.43,31.43
2026-08-03 15:20:00+00:00,31.43,31.43,31.43,31.43
2026-08-03 15:25:00+00:00,31.43,31.43,31.43,31.43
2026-08-03 15:30:00+00:00,31.43,31.43,31.43,31.43
2026-08-03 15:35:00+00:00,31.43,31.43,31.43,31.43
2026-08-03 15:40:00+00:00,31.43,31.43,31.43,31.43
2026-08-03 15:45:00+00:00,31.43,31.43,31.43,31.43
2026-08-03 15:50:00+00:00,31.43,31.43,31.43,31.43
2026-08-03 15:55:00+00:00,31.43,31.43,31.43,31.43
2026-08-03 16:00:00+00:00,31.43,31.43,31.43,31.43
