begins_at,open,high,low,close
2026-08-28 14:20:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 14:25:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 14:30:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 14:35:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 14:40:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 14:45:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 14:50:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 14:55:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 15:00:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 15:05:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 15:10:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 15:15:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 15:20:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 15:25:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 15:30:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 15:35:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 15:40:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 15:45:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 15:50:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 15:55:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 16:00:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 16:05:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 16:10:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 16:15:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 16:20:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 16:25:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 16:30:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 16:35:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 16:40:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 16:45:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 16:50:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 16:55:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 17:00:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 17:05:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 17:10:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 17:15:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 17:20:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 17:25:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 17:30:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 17:35:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 17:40:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 17:45:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 17:50:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 17:55:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 18:00:00+00:00,0.01,0.01,0.01,0.01
2026-08-28 18:05:00+00:00,0.01,0.01,0.01,0.01
