begins_at,open,high,low,close
2026-07-16 19:55:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 13:30:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 13:35:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 13:40:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 13:45:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 13:50:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 13:55:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 14:00:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 14:05:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 14:10:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 14:15:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 14:20:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 14:25:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 14:30:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 14:35:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 14:40:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 14:45:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 14:50:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 14:55:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 15:00:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 15:05:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 15:10:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 15:15:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 15:20:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 15:25:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 15:30:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 15:35:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 15:40:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 15:45:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 15:50:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 15:55:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 16:00:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 16:05:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 16:10:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 16:15:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 16:20:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 16:25:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 16:30:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 16:35:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 16:40:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 16:45:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 16:50:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 16:55:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 17:00:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 17:05:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 17:10:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 17:15:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 17:20:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 17:25:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 17:30:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 17:35:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 17:40:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 17:45:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 17:50:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 17:55:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 18:00:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 18:05:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 18:10:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 18:15:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 18:20:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 18:25:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 18:30:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 18:35:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 18:40:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 18:45:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 18:50:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 18:55:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 19:00:00+00:00,0.01,0.01,0.01,0.01
2026-07-17 19:05:00+00:00,0.01,0.01,0.01,0.01
